City,Target,XGB_MAE,LSTM_MAE,XGB_RMSE,LSTM_RMSE,XGB_R2,LSTM_R2,Winner
DE_BILT,temp_mean,1.517641505149946,1.9712971448898315,1.9358904639404433,2.5919382592901252,0.9095247525076644,0.8378124237060547,XGBoost
DE_BILT,temp_min,1.943602614860012,2.560305595397949,2.445136201268928,3.144323344495405,0.8252258094542939,0.710981547832489,XGBoost
DE_BILT,temp_max,1.834087972771632,2.4332962036132812,2.335688046326392,3.1335335755449285,0.9029480588910826,0.8253200054168701,XGBoost
DUSSELDORF,temp_mean,1.6074178750547645,2.3862078189849854,2.13071366999055,3.1467468417454807,0.9069474626640308,0.7970440983772278,XGBoost
DUSSELDORF,temp_min,2.137964036236071,2.753113269805908,2.8983775325055947,3.757442464077076,0.802574158738044,0.6681981682777405,XGBoost
DUSSELDORF,temp_max,1.9781658018451844,2.829444408416748,2.5417756853301317,3.6500211950235433,0.9017490220915988,0.7973935604095459,XGBoost
MAASTRICHT,temp_mean,1.6627615275448315,2.3046844005584717,2.20241232942169,2.984615136516358,0.8989091282456009,0.8143515586853027,XGBoost
MAASTRICHT,temp_min,1.809498360646914,2.469299793243408,2.5514513637228564,3.2643707641130018,0.833787745979602,0.7279257774353027,XGBoost
MAASTRICHT,temp_max,2.0543694203520473,2.793250799179077,2.619344393607253,3.5482034086131593,0.8931362439861592,0.8039069175720215,XGBoost
MUENCHEN,temp_mean,1.5928750767119944,2.6089024543762207,2.0395868931295436,3.268637112187126,0.9375419928321702,0.839587926864624,XGBoost
MUENCHEN,temp_min,1.5241439019817196,2.2991011142730713,1.986020907101422,2.979104866151548,0.925695983431547,0.832807719707489,XGBoost
MUENCHEN,temp_max,2.406404089209152,3.480722665786743,3.0624955337818545,4.3643516655060095,0.8954525853106255,0.7876746654510498,XGBoost
OSLO,temp_mean,1.4195544958767825,2.0902976989746094,1.8692186770780526,2.767348964467202,0.9501783158194647,0.8907991647720337,XGBoost
OSLO,temp_min,1.43774715841633,2.4083518981933594,1.8608125205321777,3.1242128525239723,0.941229182636907,0.8343323469161987,XGBoost
OSLO,temp_max,1.9307131375351998,2.3960251808166504,2.423265098400681,3.080462812107912,0.9374982621341191,0.898999810218811,XGBoost
