City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.9776791334152222,2.6020848205252665,1629875.8,0.836540162563324
DE_BILT,temp_min,2.5705721378326416,3.1960522977443584,6301426.0,0.701393723487854
DE_BILT,temp_max,2.269524097442627,3.0223639107507867,46.391315,0.8374944925308228
DUSSELDORF,temp_mean,2.3280649185180664,3.0455519713678725,1569266.2,0.8098877668380737
DUSSELDORF,temp_min,2.7257049083709717,3.6825868883001758,102.162895,0.6812868118286133
DUSSELDORF,temp_max,2.8124196529388428,3.55738865434829,49.917725,0.807546854019165
MAASTRICHT,temp_mean,2.3643717765808105,3.0548225236402753,2265275.0,0.8055147528648376
MAASTRICHT,temp_min,2.4937095642089844,3.25335007181187,2603405.2,0.729759693145752
MAASTRICHT,temp_max,2.84942364692688,3.5932188221998707,81.40465,0.79889976978302
MUENCHEN,temp_mean,2.5634310245513916,3.167785714502768,63356164.0,0.8493340015411377
MUENCHEN,temp_min,2.24173903465271,2.90697921300384,13022716.0,0.8408052921295166
MUENCHEN,temp_max,3.4602324962615967,4.2928112441960335,70.54174,0.7945784330368042
OSLO,temp_mean,2.1034414768218994,2.7523109089746103,5858615.0,0.8919827342033386
OSLO,temp_min,2.392627239227295,3.090638416596732,169.81038,0.8378739356994629
OSLO,temp_max,2.5240368843078613,3.1692874670832922,2603556.8,0.8930912017822266
