City,Target,XGB_MAE,LSTM_MAE,XGB_RMSE,LSTM_RMSE,XGB_R2,LSTM_R2,Winner
DE_BILT,temp_mean,1.4652511936344512,2.058828353881836,1.8890619438596592,2.6493855357787406,0.9138489417053428,0.8305433988571167,XGBoost
DE_BILT,temp_min,1.9363486181546565,2.5593812465667725,2.4434859724482414,3.176762615754899,0.8254616409628781,0.7049872875213623,XGBoost
DE_BILT,temp_max,1.8260747896481866,2.347447633743286,2.3337096657541463,3.0608855682687865,0.9031123996372855,0.8333256244659424,XGBoost
DUSSELDORF,temp_mean,1.5975648357443613,2.523090124130249,2.1448398796518875,3.357432810891512,0.9057095328188458,0.7689570188522339,XGBoost
DUSSELDORF,temp_min,2.148788248088262,2.896524429321289,2.910224049105128,3.9205291992236626,0.800956986249937,0.6387702822685242,XGBoost
DUSSELDORF,temp_max,2.0673280919741277,3.072587013244629,2.6768304982628925,3.9281800186564984,0.8910306944128616,0.7653366923332214,XGBoost
MAASTRICHT,temp_mean,1.6541340015359123,2.669804573059082,2.197030032443166,3.543853279236924,0.8994026200809486,0.738262414932251,XGBoost
MAASTRICHT,temp_min,1.7991264929836746,2.6621484756469727,2.519228723427724,3.640367621627418,0.8379594720695326,0.6616400480270386,XGBoost
MAASTRICHT,temp_max,2.06538816295258,3.303736448287964,2.626533622878334,4.1714347006944985,0.8925488280169029,0.7289707660675049,XGBoost
MUENCHEN,temp_mean,1.5934731687258366,2.6093204021453857,2.0238149403601944,3.2407368919309336,0.9385042229327655,0.8423147201538086,XGBoost
MUENCHEN,temp_min,1.5097276581803414,2.25118350982666,1.9826087964870776,2.9158753184388155,0.925951082186381,0.8398294448852539,XGBoost
MUENCHEN,temp_max,2.4187762694162864,3.5644888877868652,3.0764571538318295,4.376420580610217,0.8944971693962132,0.7864987254142761,XGBoost
OSLO,temp_mean,1.3884708835654063,2.568040609359741,1.8387491128869062,3.422953675144117,0.9517893337577565,0.8329293131828308,XGBoost
OSLO,temp_min,1.43406773691308,2.6868419647216797,1.8585819559225323,3.6538986078736633,0.9413699958929301,0.7733950018882751,XGBoost
OSLO,temp_max,1.9401190428537867,2.8508431911468506,2.414347983077385,3.6466266459257097,0.9379574027915514,0.8584620952606201,XGBoost
